"Dist Code","Year","State Code","State Name","Dist Name","RICE YIELD (Kg per ha)","WHEAT YIELD (Kg per ha)","KHARIF SORGHUM YIELD (Kg per ha)","RABI SORGHUM YIELD (Kg per ha)","SORGHUM YIELD (Kg per ha)","PEARL MILLET YIELD (Kg per ha)","MAIZE YIELD (Kg per ha)","FINGER MILLET YIELD (Kg per ha)","BARLEY YIELD (Kg per ha)","CHICKPEA YIELD (Kg per ha)","PIGEONPEA YIELD (Kg per ha)","MINOR PULSES YIELD (Kg per ha)","GROUNDNUT YIELD (Kg per ha)","SESAMUM YIELD (Kg per ha)","RAPESEED AND MUSTARD YIELD (Kg per ha)","SAFFLOWER YIELD (Kg per ha)","CASTOR YIELD (Kg per ha)","LINSEED YIELD (Kg per ha)","SUNFLOWER YIELD (Kg per ha)","SOYABEAN YIELD (Kg per ha)","OILSEEDS YIELD (Kg per ha)","SUGARCANE YIELD (Kg per ha)","COTTON YIELD (Kg per ha)"
"1","1988","14","Chhattisgarh","Durg","842.19","462.24","1000.0","0.0","1000.0","0.0","1052.63","250.0","0.0","481.42","1141.18","293.72","1000.0","186.67","560.0","333.33","0.0","119.25","0.0","857.14","174.22","2500.0","0.0"
"1","1989","14","Chhattisgarh","Durg","692.67","518.26","1000.0","0.0","1000.0","0.0","1297.3","250.0","0.0","505.85","1071.71","263.33","848.48","203.13","538.46","0.0","0.0","154.81","0.0","714.29","228.49","1750.0","0.0"
"1","1990","14","Chhattisgarh","Durg","1181.43","685.08","800.0","0.0","800.0","0.0","950.0","0.0","1000.0","511.89","1031.58","349.87","852.94","157.89","574.55","0.0","0.0","181.68","0.0","778.33","233.33","1428.57","0.0"
"1","1991","14","Chhattisgarh","Durg","1136.31","620.69","782.61","0.0","782.61","0.0","921.05","0.0","0.0","645.9","1041.1","499.44","1038.46","142.86","576.35","500.0","0.0","261.43","250.0","657.68","300.93","1956.52","0.0"
"1","1992","14","Chhattisgarh","Durg","1129.8","365.42","909.09","0.0","909.09","0.0","1363.64","0.0","0.0","563.06","1035.09","388.52","1437.5","166.67","601.27","250.0","0.0","226.16","222.22","705.88","310.57","1714.29","0.0"
"1","1993","14","Chhattisgarh","Durg","1246.02","704.14","1000.0","1416.67","1384.62","1000.0","1105.26","0.0","0.0","628.39","1086.71","428.48","1040.0","166.67","504.79","250.0","0.0","208.43","304.35","887.81","389.69","1777.78","0.0"
"1","1994","14","Chhattisgarh","Durg","1331.73","805.48","666.67","0.0","666.67","0.0","895.83","0.0","0.0","653.57","1019.23","402.91","1000.0","137.93","620.69","250.0","0.0","248.92","320.0","792.9","341.88","1750.0","0.0"
"1","1995","14","Chhattisgarh","Durg","1454.44","714.29","1000.0","0.0","1000.0","0.0","1333.33","0.0","1000.0","494.35","854.3","253.92","1111.11","186.05","481.48","666.67","0.0","172.1","333.33","864.75","328.14","1600.0","0.0"
"1","1996","14","Chhattisgarh","Durg","1290.2","803.87","666.67","0.0","666.67","1000.0","1281.25","0.0","0.0","663.55","976.19","443.26","1000.0","155.56","500.0","500.0","0.0","273.94","333.33","688.89","422.6","1833.33","0.0"
"1","1997","14","Chhattisgarh","Durg","1138.37","514.04","82.64","0.0","80.65","0.0","914.29","0.0","0.0","439.64","595.04","40.02","1000.0","133.33","384.62","333.33","0.0","130.92","250.0","793.83","417.56","1875.0","0.0"
"1","1998","14","Chhattisgarh","Durg","870.45","621.62","1000.0","0.0","1000.0","0.0","1012.65","0.0","0.0","591.05","946.67","357.18","1000.0","175.37","473.57","250.0","0.0","201.06","0.0","465.2","313.25","1939.21","0.0"
"1","1999","14","Chhattisgarh","Durg","1251.04","0.0","0.0","0.0","0.0","0.0","1307.44","280.0","0.0","669.94","1017.27","429.46","1000.0","219.59","825.82","323.14","0.0","253.15","710.18","703.61","332.25","3340.34","0.0"
"1","2000","14","Chhattisgarh","Durg","624.89","588.19","558.46","0.0","558.46","631.0","792.52","304.35","0.0","506.84","345.8","281.31","894.94","155.67","251.37","738.01","369.0","206.51","684.21","549.69","280.03","178.83","0.0"
"1","2001","14","Chhattisgarh","Durg","1294.13","702.43","902.45","0.0","902.45","0.0","672.21","272.73","1000.0","735.92","383.23","300.83","1423.7","226.78","323.74","684.5","315.5","268.77","708.33","728.76","333.41","188.49","0.0"
"1","2002","14","Chhattisgarh","Durg","643.6","754.44","947.81","0.0","947.81","0.0","1284.3","217.39","1000.0","637.98","404.43","269.85","1338.07","255.53","302.88","311.46","0.0","280.51","696.21","536.3","359.97","206.84","500.0"
"1","2003","14","Chhattisgarh","Durg","1494.73","778.78","872.07","0.0","872.07","0.0","983.49","333.33","666.67","981.46","583.78","318.35","1384.66","274.07","373.79","264.99","0.0","306.16","665.96","859.5","359.67","207.38","714.29"
"1","2004","14","Chhattisgarh","Durg","1268.46","636.48","678.48","0.0","678.48","0.0","1186.04","360.0","1000.0","501.01","498.67","280.83","1526.54","299.01","341.04","225.9","500.0","221.27","692.22","938.76","475.24","206.84","512.2"
"1","2005","14","Chhattisgarh","Durg","1268.46","636.48","604.58","0.0","604.58","0.0","1186.04","360.0","1000.0","501.01","498.67","299.83","1526.54","299.01","341.04","225.9","500.0","221.27","692.22","938.76","517.97","206.84","0.0"
"1","2006","14","Chhattisgarh","Durg","1505.81","723.16","717.19","0.0","717.19","0.0","953.14","333.33","0.0","723.74","431.39","544.25","1465.31","290.09","294.49","264.68","250.0","253.83","628.38","889.29","566.49","105.93","263.16"
"1","2007","14","Chhattisgarh","Durg","1369.98","921.03","177.1","0.0","920.85","0.0","1157.23","263.16","1166.67","909.8","493.05","1789.63","1551.07","297.9","375.35","227.27","356.05","309.82","797.55","1149.7","859.2","123.15","250.0"
"1","2008","14","Chhattisgarh","Durg","876.42","855.47","334.29","0.0","1244.99","0.0","984.92","300.0","1000.0","856.71","550.84","795.01","1567.28","253.22","340.02","260.87","0.0","254.22","690.96","941.19","772.2","111.7","1000.0"
"1","2009","14","Chhattisgarh","Durg","788.37","898.09","369.59","0.0","1180.57","0.0","1045.97","235.29","166.67","883.44","518.7","433.68","1814.16","404.09","428.18","218.75","0.0","269.77","654.12","898.97","767.05","231.58","0.0"
"1","2010","14","Chhattisgarh","Durg","1695.77","994.69","1393.94","0.0","1393.94","1443.11","1457.32","0.0","777.78","948.89","402.03","506.28","1861.6","260.12","355.94","250.0","0.0","250.58","725.0","1148.66","986.66","256.96","0.0"
"1","2011","14","Chhattisgarh","Durg","1756.23","1115.68","774.6","0.0","774.6","0.0","1285.56","250.0","1133.33","1008.49","440.09","451.66","1561.11","347.76","418.76","203.94","0.0","390.64","833.33","802.03","735.8","506.02","250.0"
"1","2012","14","Chhattisgarh","Durg","1900.97","1087.1","705.81","0.0","705.81","0.0","1538.56","277.78","578.95","1130.97","543.12","377.05","1502.72","272.66","434.56","252.03","400.0","418.13","736.84","1194.76","1051.69","252.98","153.85"
"1","2013","14","Chhattisgarh","Durg","1581.86","1043.06","0.0","0.0","636.36","909.09","1742.2","235.29","545.45","756.19","499.89","397.0","1817.44","258.89","469.08","217.39","0.0","351.35","458.33","1003.99","917.64","237.45","200.0"
"1","2014","14","Chhattisgarh","Durg","1729.89","1151.49","0.0","0.0","809.24","750.0","1451.66","230.77","785.71","1056.09","628.58","679.02","1627.06","425.14","473.43","217.39","0.0","383.47","500.0","465.22","462.3","602.17","400.0"
"1","2015","14","Chhattisgarh","Durg","1076.95","1120.74","0.0","0.0","1039.58","0.0","1467.17","166.67","750.0","754.73","445.48","387.89","1687.82","374.48","493.81","333.33","0.0","326.49","800.0","500.02","326.61","228.49","200.0"
"1","2016","14","Chhattisgarh","Durg","2085.96","1263.55","0.0","0.0","1592.3","1000.0","2028.48","209.68","1333.33","1161.83","639.15","1002.1","2020.21","377.4","442.1","349.4","0.0","0.0","0.0","742.71","0.0","389.38","317.81"
"1","2017","14","Chhattisgarh","Durg","1168.92","1153.77","0.0","0.0","1268.62","333.33","1956.03","285.71","1000.0","1003.82","407.16","421.98","1722.94","273.92","425.21","395.19","0.0","252.72","0.0","323.3","0.0","181.06","297.85"
"2","1988","14","Chhattisgarh","Bastar","965.78","1071.43","914.89","0.0","914.89","0.0","1430.07","283.19","0.0","407.41","1366.67","366.25","1000.0","200.0","585.8","0.0","0.0","243.24","0.0","500.0","329.62","3000.0","0.0"
"2","1989","14","Chhattisgarh","Bastar","952.77","1038.46","1011.11","0.0","1011.11","0.0","1926.06","295.24","0.0","416.67","1500.0","354.09","0.0","242.42","559.75","0.0","0.0","218.75","0.0","1000.0","316.74","3500.0","0.0"
